nama,website,sumber,catatan
PT Araki Solusi Indonesia,https://www.araki.co.id,osm-company,Tangerang
PT Archipelago Strategic Solution,https://archiss.com/,osm-company,
PT Architectz Persada Asri,https://www.architectzandassociates.com/,osm-consulting,
PT Borneo Megah Sejahtera,www.bmslh.com,osm-company,Surabaya
PT Canning Indonesian Products,https://www.pronas.co.id/,osm-industrial,Denpasar
PT Carsworld Digital Indonesia,https://carsworld.co.id/,osm-company,Tangerang
PT Cinerent Indonesia,https://www.cinerent.net/,osm-company,
PT Danapaint Indonesia,https://danapaint.com/,osm-industrial,Jakarta
PT Daya Transformatika,http://www.transformatika.co.id,osm-company,Depok
PT Global Teknik Pasundan,https://globalteknikpasundan.com/,osm-consulting,
PT Grand Textile,http://www.grandtex.co.id,osm-company,Bandung
PT Honda Precision Parts Manufacturing,https://hppm.co.id/,osm-industrial,Karawang
PT JASA KONSULTAN KEUANGAN,https://jasakonsultankeuangan.co.id/,osm-company,Bekasi
PT Kalventis Sinergi Farma (Kalbe Farma),https://www.kalventis.co.id/,osm-industrial,Jakarta
PT Kao Indonesia Chemicals,https://chemical.kao.com/,osm-industrial,Karawang
PT Kereta Api Logistik Area Operasi Klari,https://www.kalogistics.co.id/,osm-industrial,Karawang
PT MAKA (Makna Karya Angan Andanu),maka.id,osm-company,
PT Multi Citra Rasa (Rasa Group),https://www.rasagroup.co.id/,osm-works,Cikarang
PT Nindya Karya,https://www.nindyakarya.co.id/,osm-company,Denpasar
PT Nissin Foods Indonesia,https://nissinfoods.co.id/,osm-company,Cikarang
PT Pengolahan Limbah Industri,https://plib-bekasi.com/,osm-industrial,Bekasi
PT Perkebunan Nusantara IX,https://apnusantara.ptpnix.co.id/,osm-company,Semarang
PT Perumnas Iida Group,https://perumnas-iidagroup.co.id/,osm-company,Bekasi
PT Pupuk Kujang,https://www.pupuk-kujang.co.id/,osm-company,Karawang
PT Reycom Document Solusi,https://rds.co.id,osm-company,Semarang
PT SHARP ELECTRONICS INDONESIA,https://id.sharp/,osm-industrial,Karawang
PT Satria Global Instrumen,https://www.satriaglobalinstrumen.com,osm-company,Cikarang
PT Sejati Jaya Manunggal Prima,https://www.sejatijaya.co.id/,osm-industrial,Surabaya
PT Sejati Mandiri Multi Rajut,https://www.sjmp.co.id/,osm-industrial,Sidoarjo
PT Semen Indonesia Distributor,https://sidistributor.com/,osm-company,Gresik
PT Semen Indonesia Logistik,https://www.silog.co.id/,osm-company,Gresik
PT Solusi Untuk Semua,https://gadogado.id/,osm-company,
PT Sumi Rubber Indonesia,https://www.dunlop.co.id/,osm-industrial,Karawang
PT Tjiwi Kimia,https://www.tjiwi.co.id/,osm-industrial,Mojokerto
PT Toyo Sensing Indonesia,https://toyosensing.com,osm-company,Bandung
PT Tunas Jaya Sanur,https://tunasjayasanur.com,osm-architect,Denpasar
PT Tunggal Idaman Abdi,https://tia-pharma.com/,osm-industrial,Jakarta
PT Warungjasa Teknologi,https://www.warungjasa.com,osm-it,Jakarta
PT Waskita Karya,https://www.waskita.co.id/,osm-company,Denpasar
PT Widha,http://www.widha.co.id,osm-company,Semarang
PT. ASIA MEGATAMA SEJAHTERA,https://asiamegatama.id/,osm-company,Tangerang
PT. Adicipta Inovasi Teknologi,http://www.adins.id/,osm-company,
PT. Aneka Kakao,https://www.anekakakao.com/,osm-company,Sidoarjo
PT. Applimetis Parama Solusi,https://applimetis.id,osm-company,Bekasi
PT. Benindo Winotama Persada,https://www.bw-persada.com,osm-works,Tangerang
PT. Cahaya Bumi Amanah,https://cba-digitechno.com/,osm-company,Bandung
PT. Indo Rizki Pratama,https://www.3dmediaadv.com,osm-company,
PT. Inovasi Teknologi Pembelajaran,https://teknologipendidikan.biz.id,osm-research,Sidoarjo
PT. Insatek Maju Bersama - Rep. Jakarta,https://insatek.id,osm-research,Jakarta
PT. Kita Bagus Sejahtera,https://kitabagus.co.id,osm-company,Tangerang
PT. Nusantara Global Inovasi,https://nginovasi.com/,osm-it,Semarang
PT. PLN Nusantara Power,https://www.plnnusantarapower.co.id/,osm-company,Surabaya
PT. Perdana Maju Melangkah,https://perdanamajumelangkah.com,osm-company,Cikarang
PT. PiEE Internasional,https://piee.co.id,osm-company,
PT. Pindo Deli Pulp And Paper Mills 1,https://www.asiapulppaper.com/,osm-industrial,Karawang
PT. Pratama Motivasi Mandiri,www.iproguard.com,osm-it,Bekasi
PT. RUMAH LOGIC TEKNOLOGI,https://rumahlogic.com,osm-it,Jakarta
PT. Sanghiang Perkasa - Kalbe Nutritionals,https://kalbenutritionals.com/id,osm-industrial,Karawang
PT. Sidomulyo Selaras Tbk,https://www.sidomulyo.com/,osm-company,Serang
PT. Tanjung Kreasi Parquet Industri,http://www.tekaparquet.com,osm-company,
PT. Tokopedia,https://tokopedia.com/,osm-company,
PT. Univance Indonesia Plant 2,https://www.uvc.co.jp/,osm-industrial,Karawang
PT. Voith Paper Rolls Indonesia,http://www.voithpaper.com/,osm-works,Karawang
Pacific Express,https://pacific-bali.com/,osm-company,Denpasar
Pegadaian UPC Sukawati,https://www.pegadaian.co.id,osm-company,Denpasar
Perpetual Gifts,http://www.perpetualgifts.com/,osm-company,
Pluto Publishing,https://bestgardenoutdoor.com,osm-company,
Pradana Gas Nusantara,https://pradanagasnusantara.com/,osm-company,Cikarang
Prambanan Kencana,https://www.prb.co.id/,osm-warehouse,Denpasar
Pro-Int Dinamika,https://pro-int.co.id,osm-company,
Prysmian Cables Indonesia,https://asean.prysmiangroup.com/,osm-industrial,Karawang
Rakyatku.com,https://rakyatku.com/,osm-company,Makassar
SB301 OFFICE,https://www.sb301.net/,osm-company,Surabaya
SOS Medika,http://sosmedika.id,osm-company,
Saku Sultan Basecamp,https://sakusultan.com,osm-company,Makassar
Semarang Resilience Office,www.100rcsemarang.org,osm-company,Semarang
Semen Indonesia,https://www.sig.id,osm-company,Gresik
Sociodreams,https://www.sociodreams.com/,osm-advertising_agency,Sidoarjo
SolarTuff - Solar Water Heater,https://www.solartuff.co.id/,osm-company,Medan
Studio Paramuda Radio Bandung 93.7 FM (RAMA Group),http://www.paramudaradio.com,osm-company,Bandung
Studio Radio Rama 104.7 FM Bandung,https://www.ramafm.com/,osm-company,Bandung
Studio Ubud,http://studioubud.com,osm-company,
TUKU Head Office,https://tuku.coffee/,osm-company,
Tata Niaga Intercontinent,https://tni.biz.id,osm-company,Tangerang
ThinkrCreative,http://thinkrcreative.com/,osm-company,
TomTom,https://www.tomtom.com/,osm-company,
TransTRACK.ID,https://transtrack.id,osm-company,
Traveloka Campus,https://www.traveloka.com,osm-company,Tangerang
Tritan Point,https://tritanpoint.com/,osm-industrial,Bandung
Upperclicks,https://upperclicks.com/,osm-company,
Vivnio - Platform Reseller Undangan Digital,https://vivnio.com,osm-company,Medan
WebHozz Kalimalang,https://www.webhozz.com/,osm-company,
Webindoshop,https://webindoshop.com,osm-it,Bandung
XL Axiata,https://xl.co.id/,osm-telecommunication,Medan
XLSMART Telecom Sejahtera,https://www.smartfren.com/,osm-telecommunication,Tangerang
iziRoam,https://iziroam.com/,osm-company,
